"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 09 15:46:55 GMT 2025","Tue Sep 09 15:46:58 GMT 2025","2964","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Buzz Latest Posts","","Login with Valid credentials and verify the homePage contains Buzz Latest Posts",""
"passed","Tue Sep 09 15:47:01 GMT 2025","Tue Sep 09 15:47:04 GMT 2025","2964","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit",""
"passed","Tue Sep 09 15:46:58 GMT 2025","Tue Sep 09 15:47:01 GMT 2025","2883","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit",""
"passed","Tue Sep 09 15:46:48 GMT 2025","Tue Sep 09 15:46:55 GMT 2025","6857","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employees on Leave Today","","Login with Valid credentials and verify the homePage contains Employees on Leave Today",""
