"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 10 14:13:57 GMT 2025","Wed Sep 10 14:14:01 GMT 2025","3964","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employees on Leave Today","","Login with Valid credentials and verify the homePage contains Employees on Leave Today",""
"passed","Wed Sep 10 14:14:04 GMT 2025","Wed Sep 10 14:14:06 GMT 2025","2575","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit",""
"passed","Wed Sep 10 14:14:01 GMT 2025","Wed Sep 10 14:14:04 GMT 2025","2751","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Buzz Latest Posts","","Login with Valid credentials and verify the homePage contains Buzz Latest Posts",""
"passed","Wed Sep 10 14:14:06 GMT 2025","Wed Sep 10 14:14:09 GMT 2025","2549","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit",""
