"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 10 13:48:12 GMT 2025","Wed Sep 10 13:48:16 GMT 2025","3575","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit",""
"passed","Wed Sep 10 13:48:00 GMT 2025","Wed Sep 10 13:48:05 GMT 2025","5210","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employees on Leave Today","","Login with Valid credentials and verify the homePage contains Employees on Leave Today",""
"passed","Wed Sep 10 13:48:09 GMT 2025","Wed Sep 10 13:48:12 GMT 2025","3599","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit",""
"passed","Wed Sep 10 13:48:05 GMT 2025","Wed Sep 10 13:48:09 GMT 2025","3628","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Buzz Latest Posts","","Login with Valid credentials and verify the homePage contains Buzz Latest Posts",""
