"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 10 13:41:51 GMT 2025","Wed Sep 10 13:41:53 GMT 2025","2569","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit",""
"passed","Wed Sep 10 13:41:48 GMT 2025","Wed Sep 10 13:41:51 GMT 2025","2592","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit",""
"passed","Wed Sep 10 13:41:41 GMT 2025","Wed Sep 10 13:41:46 GMT 2025","4315","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employees on Leave Today","","Login with Valid credentials and verify the homePage contains Employees on Leave Today",""
"passed","Wed Sep 10 13:41:46 GMT 2025","Wed Sep 10 13:41:48 GMT 2025","2603","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Buzz Latest Posts","","Login with Valid credentials and verify the homePage contains Buzz Latest Posts",""
