"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 09 15:29:05 GMT 2025","Tue Sep 09 15:29:17 GMT 2025","12400","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employees on Leave Today","","Login with Valid credentials and verify the homePage contains Employees on Leave Today",""
"passed","Tue Sep 09 15:29:20 GMT 2025","Tue Sep 09 15:29:22 GMT 2025","2511","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit",""
"passed","Tue Sep 09 15:29:17 GMT 2025","Tue Sep 09 15:29:20 GMT 2025","2530","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Buzz Latest Posts","","Login with Valid credentials and verify the homePage contains Buzz Latest Posts",""
"passed","Tue Sep 09 15:29:22 GMT 2025","Tue Sep 09 15:29:25 GMT 2025","2494","","Orange HRM application cases","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit","","Login with Valid credentials and verify the homePage contains Employee Distribution by Sub Unit",""
